time (seconds),temperature (Celsius)
3.909,24.3125
3.916,24.3125
3.920,24.3125
3.921,24.3125
3.923,24.3125
3.926,24.3125
3.927,24.3125
3.944,24.3125
3.945,24.3125
3.946,24.3125
3.947,24.3125
3.961,24.3125
3.963,24.3125
3.970,24.3125
3.971,24.3125
3.972,24.3125
3.973,24.3125
3.974,24.3125
3.975,24.3125
3.978,24.3125
3.979,24.3125
3.994,24.3125
3.997,24.3125
4.006,24.3125
4.007,24.3125
4.009,24.3125
4.026,24.3125
4.030,24.3125
4.034,24.3125
4.039,24.3125
4.041,24.3125
4.048,24.3125
4.049,24.3125
4.050,24.3125
4.054,24.3125
4.060,24.3125
4.062,24.3125
4.067,24.3125
4.083,24.3125
4.091,24.3125
4.114,24.3125
4.118,24.3125
4.123,24.3125
4.131,24.3125
4.137,24.3125
4.141,24.3125
4.142,24.3125
4.145,24.3125
4.150,24.3125
4.153,24.3125
4.154,24.3125
4.155,24.3125
4.158,24.3125
4.164,24.3125
4.173,24.3125
4.178,24.3125
4.183,24.3125
4.189,24.3125
4.199,24.3125
4.206,24.3125
4.215,24.3125
4.216,24.3125
4.217,24.3125
4.221,24.3125
4.223,24.3125
4.230,24.3125
4.233,24.3125
4.234,24.3125
4.245,24.3125
4.246,24.3125
4.260,24.3125
4.265,24.3125
4.267,24.3125
4.274,24.3125
4.285,24.3125
4.300,24.3125
4.302,24.3125
4.316,24.3125
4.317,24.3125
4.319,24.3125
4.319,24.3125
4.321,24.3125
4.329,24.3125
4.343,24.3125
4.356,24.3125
4.362,24.3125
4.364,24.3125
4.365,24.3125
4.379,24.3125
4.380,24.3125
4.390,24.3125
4.397,24.3125
4.412,24.3125
4.417,24.3125
4.423,24.3125
4.433,24.3125
4.433,24.3125
4.436,24.3125
4.436,24.3125
4.439,24.3125
4.453,24.3125
4.463,24.3125
4.464,24.3125
4.472,24.3125
4.482,24.3125
4.483,24.3125
4.487,24.3125
4.490,24.3125
4.500,24.3125
4.513,24.3125
4.518,24.3125
4.521,24.3125
4.530,24.3125
4.531,24.3125
4.536,24.3125
4.537,24.3125
4.541,24.3125
4.545,24.3125
4.556,24.3125
4.557,24.3125
4.566,24.3125
4.569,24.3125
4.571,24.3125
4.580,24.3125
4.582,24.3125
4.588,24.3125
4.590,24.3125
4.601,24.3125
4.602,24.3125
4.604,24.3125
4.624,24.3125
4.631,24.3125
4.636,24.3125
4.644,24.3125
4.658,24.3125
4.658,24.3125
4.667,24.3125
4.673,24.3125
4.689,24.3125
4.694,24.3125
4.705,24.3125
4.714,24.3125
4.720,24.3125
4.722,24.3125
4.727,24.3125
4.739,24.3125
4.745,24.3125
4.748,24.3125
4.761,24.3125
4.775,24.3125
4.777,24.3125
4.786,24.3125
4.786,24.3125
4.788,24.3125
4.790,24.3125
4.795,24.3125
4.800,24.3125
4.810,24.3125
4.820,24.3125
4.835,24.3125
4.841,24.3125
4.847,24.3125
4.854,24.3125
4.862,24.3125
4.864,24.3125
4.864,24.3125
4.875,24.3125
4.881,24.3125
4.882,24.3125
4.890,24.3125
4.894,24.3125
4.897,24.3125
4.918,24.3125
4.918,24.3125
4.921,24.3125
4.928,24.3125
4.933,24.3125
4.953,24.3125
4.955,24.3125
4.957,24.3125
4.976,24.3125
4.990,24.3125
4.997,24.3125
